,type,value,date
782,PRCP,0,1978-04-1
783,TMAX,295,1978-05-1
784,TMIN,155,1978-05-1
785,PRCP,0,1978-05-1
786,TMAX,265,1978-06-1
787,TMIN,170,1978-06-1
788,PRCP,150,1978-06-1
789,TMAX,245,1978-07-1
790,TMIN,155,1978-07-1
791,PRCP,5,1978-07-1
792,TMAX,270,1978-08-1
793,TMIN,150,1978-08-1
794,PRCP,5,1978-08-1
795,TMAX,260,1978-09-1
796,TMIN,155,1978-09-1
797,PRCP,0,1978-09-1
798,TMAX,240,1978-10-1
799,TMIN,150,1978-10-1
800,PRCP,0,1978-10-1
801,TMAX,250,1978-11-1
802,TMIN,135,1978-11-1
803,PRCP,0,1978-11-1
804,TMAX,275,1978-12-1
805,TMIN,160,1978-12-1
806,PRCP,0,1978-12-1
807,TMAX,260,1979-01-1
808,TMIN,125,1979-01-1
809,PRCP,0,1979-01-1
810,TMAX,285,1979-02-1
811,TMIN,130,1979-02-1
812,PRCP,0,1979-02-1
813,TMAX,275,1979-03-1
814,TMIN,140,1979-03-1
815,PRCP,0,1979-03-1
816,TMAX,320,1979-04-1
817,TMIN,185,1979-04-1
818,PRCP,0,1979-04-1
819,TMAX,310,1979-05-1
820,TMIN,175,1979-05-1
821,PRCP,0,1979-05-1
822,TMAX,305,1979-06-1
823,TMIN,160,1979-06-1
824,PRCP,0,1979-06-1
825,TMAX,265,1979-07-1
826,TMIN,170,1979-07-1
827,PRCP,0,1979-07-1
828,TMAX,260,1979-08-1
829,TMIN,145,1979-08-1
830,PRCP,0,1979-08-1
831,TMAX,280,1979-09-1
832,TMIN,145,1979-09-1
833,PRCP,150,1979-09-1
834,TMAX,270,1979-10-1
835,TMIN,110,1979-10-1
836,PRCP,0,1979-10-1
837,TMAX,290,1979-11-1
838,TMIN,110,1979-11-1
839,PRCP,0,1979-11-1
840,TMAX,290,1979-12-1
841,TMIN,95,1979-12-1
842,PRCP,0,1979-12-1
843,TMAX,250,1980-01-1
844,TMIN,125,1980-01-1
845,PRCP,0,1980-01-1
846,TMAX,240,1980-02-1
847,TMIN,130,1980-02-1
848,PRCP,0,1980-02-1
849,TMAX,260,1980-03-1
850,TMIN,130,1980-03-1
851,PRCP,0,1980-03-1
852,TMAX,330,1980-04-1
853,TMIN,170,1980-04-1
854,PRCP,0,1980-04-1
855,TMAX,315,1980-05-1
856,TMIN,170,1980-05-1
857,PRCP,0,1980-05-1
858,TMAX,320,1980-06-1
859,TMIN,170,1980-06-1
860,PRCP,0,1980-06-1
861,TMAX,270,1980-07-1
862,TMIN,170,1980-07-1
863,PRCP,14,1980-07-1
864,TMAX,260,1980-08-1
865,TMIN,160,1980-08-1
866,PRCP,268,1980-08-1
867,TMAX,240,1980-09-1
868,TMIN,160,1980-09-1
869,PRCP,232,1980-09-1
870,TMAX,200,1980-10-1
871,TMIN,160,1980-10-1
872,PRCP,0,1980-10-1
873,TMAX,250,1980-11-1
874,TMIN,130,1980-11-1
